is_kelas,sentimen_3,date,text
0,NA,10/12/2016,"#Analisa terbaik dari @eliya_mkom master in political communication
@jokowi panik
@aniesbaswedan Bidak catur‚Ä¶ https://t.co/SHrLQ3PCGK"
-1,NA,10/12/2016,@aniesbaswedan kalo gitu para koruptor yg sdh dipenjara didalam rahim ibunya sdh ada benih korupsi
1,NA,10/12/2016,"@aniesbaswedan yakin pasti menang,, doa kita semua, dan juga doa para ibu"
0,NA,10/12/2016,"@aniesbaswedan Sepertinya kita hanya bisa berharap keadilan pada Irfan Hakim, Chistina Hakim ma hakim garis.
Hakim garis,"
0,1,10/12/2016,Mas @AniesBaswedan :Berantas Korupsi tak Sekadar Bentak-Bentak. @JktMajuBersama #SalamBersama https://t.co/HMBx23h1ID via: @republikaonline
1,NA,10/12/2016,Gak ada yg meragukan rekam jejak @aniesbaswedan ttg komitmen Anti Korupsi. https://t.co/Qp5iSCm4mu
0,NA,10/12/2016,"""Alergi"" Panggung https://t.co/Y2fSlUely9 @aniesbaswedan @basuki_btp"
0,NA,10/12/2016,"#Relawan2Bergerak ke aceh aja yuk, kita bantu dengan nyata jgn hanya berdoa dan prihatin aja y
@basuki_btp @AgusYudhoyono @aniesbaswedan"
1,NA,10/12/2016,@sandiuno @aniesbaswedan joz
0,NA,10/12/2016,Nah itulah program #BERSAMAmuliakanPerempuan nya Pak @aniesbaswedan dan Pak @sandiuno
0,NA,10/12/2016,"pemimpin adalah orang yang diikuti seera sukarela, baik perkataannya mau pun perbuatannya @aniesbaswedan‚Ä¶ https://t.co/1hDsLPidO5"
1,NA,10/12/2016,@aniesbaswedan smangat
1,NA,10/12/2016,"Para mantan komisioner KPK percaya @aniesbaswedan, sbg pemimpin yg bersih dlm fakta. Gmn dibanding kandidat lain? Biarkan publik menilai :)"
0,1,10/12/2016,Mas @AniesBaswedan Cerita Piano Gading di Hari Anti Korupsi. @JktMajuBersama #SalamBersama https://t.co/gMRqKHOWVj via: @tribunnews
0,NA,10/12/2016,"Dalam demokrasi, Kita dapat memilih: Apakah pemberantasan korupsi melawan para koruptor akan menang atau kalah?! @aniesbaswedan @sandiuno"
1,NA,10/12/2016,Bro dan Sis @psi_id masih boleh kok kalau mau ikut #majubersama bareng @aniesbaswedan dan @sandiuno :) https://t.co/Sqndh1rkXX
-1,NA,10/12/2016,@sandiuno @aniesbaswedan selamat hari korupsi pak?
0,NA,10/12/2016,@kangdede78 @BamsBulaksumur4 @netmediatama @basuki_btp @aniesbaswedan @AgusYudhoyono @andreOPA @Mosthafavi @singgihwidiyas loh ini kapan ya?
1,NA,10/12/2016,Gak terbantahkan jago gue @JktMajuBersama ... Cagubnya @aniesbaswedan tokoh pergerakan pendidikan Cawagubnya‚Ä¶ https://t.co/XCLJaAkh3N
-1,NA,10/12/2016,"@aniesbaswedan mohon maaf,bukan Rahim yang salah pak tp pendidikan yang kurang,moral  dn linhkungn jg mmpengaruhi..."
-1,NA,10/12/2016,"@aniesbaswedan Terlalu ""sadis"" mengait kan"" Calon Koruptor dgn Rahim Ibu. Sebut saja aturan hukum yg lebih keras utk para koruptor. Apa ???"
-1,NA,10/12/2016,"@aniesbaswedan Saya kira terlalu ""sadis"" menghubungkan Calon Koruptor dengan Rahim Ibu. Mestinya sebut saja aturan hukum yg lbh keras."
0,NA,10/12/2016,Maju terus kang @ridwankamil semoga bisa dijadikan contoh ditempat lain. @TMCPoldaMetro @AgusYudhoyono @basuki_btp @aniesbaswedan @BimaAryaS
1,NA,10/12/2016,"PENGHARGAAN @AniesBaswedan, 8. 2010 - 20 Tokoh Pembawa Perubahan Dunia (Majalah Foresight Jepang) #SiapaAniesSandi"
-1,NA,10/12/2016,@nengherba @GunRomli @basuki_btp @aniesbaswedan @netmediatama lagi training cara berdebatÌ†ΩÌ∏ä
0,NA,10/12/2016,@aniesbaswedan amin
-1,NA,10/12/2016,@aniesbaswedan @cumarachel caranya gimana pak.. emang ibu2 pengen anaknya jadi koruptor.. itu tergantung didikannya bos..
1,NA,10/12/2016,@sandiuno @aniesbaswedan mantappp
0,NA,11/12/2016,"RINDU KAMI PADAMU, YA RASUL...
Dinyanyikan oleh mas @aniesbaswedan dan Bang @sandiuno https://t.co/DzIC3z3BnG"
1,NA,11/12/2016,"tuips, kabar @aniesbaswedan &amp; @sandiuno adalah the only CaGubCaWagub yg dapat Sholat Jum'at bersama, hoax bukan sih?"
0,NA,11/12/2016,"Rindu Kami pada-Mu ya Rasul
vocal by @aniesbaswedan dan @sandiuno 

https://t.co/K1kkYChPqS"
1,NA,11/12/2016,"@PKSejahtera @aniesbaswedan @sandiuno Mari kita do'akan. Klo Pak Anies-Pak Sandi jd Gubernur, dihrpkn mau rutin keliling Subuh-an dgn warga"
1,NA,11/12/2016,@firmanyursak @aniesbaswedan @sandiuno @marzukialie_MA Memberikan contoh yg positif pd masyarakat dan menyejukkan hati..
0,NA,11/12/2016,"Mas @aniesbaswedan Bang @sandiuno dan Pak @marzukialie_MA saling sapa jelang sholat subuh di Sunda Kelapa hari ini,‚Ä¶ https://t.co/Juq4cubr9o"
0,NA,11/12/2016,"Ada mas @aniesbaswedan dan bang @sandiuno di Masjid Sunda Kelapa, Qiamulail dan #SubuhBerjamaah1212  @PKSejahtera‚Ä¶ https://t.co/NtQiz5glH5"
0,NA,11/12/2016,Taushiah #SubuhBerjamaah1212 oleh @aniesbaswedan @JktMajuBersama @kerja4as_uno @soeramiharja @sandiuno‚Ä¶ https://t.co/osouYubUpe
1,NA,11/12/2016,"Alhamdulillah subuh di Sunda Kelapa, eh ketemu Mas @aniesbaswedan bang @sandiuno dan @marzukialie_MA :) Subuh penuh Takbir...Allahu Akbar!"
1,NA,11/12/2016,"@sandiuno @aniesbaswedan semoga bila terpilih menjadi gubernur dan wakil gubernur, bisa terus melanjutkan sholat subuh berjamaah...aamiin"
0,NA,11/12/2016,Alhamdulillah bersama @sandiuno dan @aniesbaswedan di Masjid Sunda Kelapa #SubuhBerjamaah1212
0,NA,11/12/2016,@sandiuno @aniesbaswedan luruskan niat. hati2 riya hangus semua...
0,NA,11/12/2016,Mas @aniesbaswedan dan @sandiuno subuhan bareng di masjid Sunda Kelapa. #1212
0,NA,11/12/2016,Pak @aniesbaswedan juga ya..? https://t.co/mlhRWj22Tv
0,NA,11/12/2016,Tunjukan keberanian hi para calon Gubernur @AgusYudhoyono  @basuki_btp  @aniesbaswedan ... pamerkan Visi Misi ! https://t.co/PCPIc6zQk4
1,NA,11/12/2016,"@digembok @aniesbaswedan @sandiuno Hmm terlepas ini kampanye atau bukan, apresiasi saya buat salat subuh berjamaahnya. Allah maha tahu."
1,1,11/12/2016,Sampai saat ini di Pilgub DKI 2017 program @aniesbaswedan masih lebih realitis daripada @AgusYudhoyono! Saya coblos @basuki_btp 15-2-2017 :)
0,NA,11/12/2016,"@tian37x @sandiuno @aniesbaswedan gua bakak share lo dmna, biar lo dapet sanksi sosial, karena lo kgak normal seperti laki2 pada umumnya"
0,NA,11/12/2016,@digembok @aniesbaswedan @sandiuno Sipdeh. Pokoknya kalo cagub yg laen mah sah2 aja Ì†ΩÌ∏ï
0,NA,11/12/2016,"@tian37x @sandiuno @aniesbaswedan situ yg setres, jd orang jeruk makan jeruk, dasar manusia homo"
1,NA,11/12/2016,Yuk sholat subuh bareng... kebetulan mas @aniesbaswedan dan @sandiuno akan di masjid sunda kelapa besok. :) https://t.co/pFAiYJoa05
0,NA,11/12/2016,Bebas. Pokoknya ini bukan kampanye yah ini sholat jamaah. @aniesbaswedan @sandiuno https://t.co/qZlkyJbkNp
1,NA,11/12/2016,Jangan lupa #nomor3 @aniesbaswedan @sandiuno @JktMajuBersama #salambersama #majubersama https://t.co/ynPyTCqV8v
0,NA,11/12/2016,"Subuh berjamaah 1212 bersama mas @aniesbaswedan &amp; Bang @sandiuno   di Masjid Sunda Kelapa, Jakarta Pusat.‚Ä¶ https://t.co/560MJ7U0Jq"
0,NA,11/12/2016,@kompascom @AgusYudhoyono @sandiuno @aniesbaswedan @ArbiSanit pasti ada jln untuk kebenaran. Smoga demokrasi tdk mati.
0,NA,11/12/2016,@SindikatJKT @hildathawilla @hariadhi ada baiknya sbg timses paslon di medsos paparkan dg data &amp; fakta... Cc @aniesbaswedan @sandiuno
0,NA,11/12/2016,@MPabottingi @ChikaCikhaka @basuki_btp @AhyCenter @aniesbaswedan @sandiuno tolong catat ya Om2..
0,NA,11/12/2016,@edukasiTA @aniesbaswedan pungli sudah biasa di tulungagung ....lha faktanya begitu hehe
0,NA,11/12/2016,"@TanpaDelusi @sevenzkai @aniesbaswedan @basuki_btp Biarin, kan jadi ketauan mana yang komit ama rakyat, mana yg takut ama kritik rakyat"
1,NA,11/12/2016,Pak @aniesbaswedan dulu menghimbau ke pemda untuk proaktif mengingatkan tiap sekolah agar tidak melegalkan pengenaan pungli #hariantikorupsi
0,NA,11/12/2016,@SuaraAnies @Reiza_Patters @psi_id @aniesbaswedan @sandiuno cie cie anti korupsi ni
0,NA,11/12/2016,"Mas @aniesbaswedan : Jakarta menjadi rumah kita bersama..
Jakarta menjadi ruang kemenangan untuk nomer 3.‚Ä¶ https://t.co/kj8oF3NQzS"
1,NA,11/12/2016,"@helvy @sylviana_murni  tetap semangat @AgusYudhoyono &amp; mpok silvy jg pd bung @aniesbaswedan &amp; @sandiuno , ayo dukung keduanya. Ì†ΩÌ±çÌ†ΩÌ±çÌ†ΩÌ±ç"
0,NA,11/12/2016,#JuruBicaraJKT di puji bgt lho di akun FB nya pak @aniesbaswedan bangga lho beliau :) *mencintai indonesia dg caranya @pandji
0,NA,11/12/2016,"Semalem fotbar sama @alphisugoi di depan ada pak @aniesbaswedan Ì†ΩÌ∏Ç eh eh ga enak bgt, masa foto depan pak aniesÌ†ΩÌ∏ä"
1,NA,11/12/2016,Kalau beliau betul datang tnp sepengetahuan @pandji apalagi bersama istrinya. Sebuah apresiasi luar biasa dr seoran‚Ä¶ https://t.co/swxUiQhumT
0,NA,11/12/2016,@yesmie @basuki_btp @aniesbaswedan @sandiuno rugi besar warga jakarta ! tapi minimal warga punya alternatif  cagub kompeten dan abal2
1,NA,11/12/2016,@aniesbaswedan salut
0,NA,11/12/2016,Klo @basuki_btp djarot gagal di pilgub DKI pilihan terakhir yg harus jadi pasangan @aniesbaswedan @sandiuno pokoknya jgn anak pepo syuramm
0,NA,11/12/2016,Mari melihat data.. @jokowi @Pak_JK @DKIJakarta @LuhutPandjaitan @susipudjiastuti @tzuchiindonesia @basuki_btp‚Ä¶ https://t.co/G1PXSuN2Qy
0,NA,11/12/2016,"Ayo Bersholawat
#PPPBersholawat #MaulidNabi
@quraishihab
@BBCIndonesia
@Fahmisalim2
@marifinilham
@komar_hidayat‚Ä¶ https://t.co/TUps8slWpj"
0,NA,11/12/2016,@Asmaulh84229384 @caknur14 @AgusYudhoyono @aniesbaswedan @sylviana_murni @sandiuno @JktMajuBersama kenapa gak ada pak ahok?
1,NA,11/12/2016,@sandiuno @aniesbaswedan daripada merebut basis ahox yg hanya 15% mending mendekat ke pemilih muslim yg sangat banyak
1,NA,11/12/2016,@sandiuno @aniesbaswedan mantap
0,NA,11/12/2016,Nah lho @TerorisSocmed @IndraJPiliang @AhokDjarot @AgusYudhoyono @aniesbaswedan https://t.co/4LhrkTyLR2
0,NA,11/12/2016,Luarbiasa!!! Gimana dg kbr @AgusYudhoyono &amp; @aniesbaswedan ya??? https://t.co/Ft2TjP3u2e
0,NA,11/12/2016,@aniesbaswedan sudahlah... Nikmatin aja kericuhan tanggal 4 kemaren.
0,NA,11/12/2016,@detikcom dan @aniesbaswedan kemiskinan itu bukan dampak tapi bagian dari sistem pembangunan.
-1,NA,11/12/2016,"@detikcom apakah kalo anda @aniesbaswedan jadi gubernur, yg miskin jadi kaya? atau malah tambah makin miskin plus?"
0,NA,11/12/2016,"Pak @AgusYudhoyono belajar dr Singapura,JKT bukan Singapura baru, jgn mau pribumi&amp;betawi hilang dr jkt
@basuki_btp‚Ä¶ https://t.co/FRyrQjVVR6"
-1,NA,11/12/2016,SDR @sandiuno @aniesbaswedan BANYAK TEORI BAMBANG DISELAMATKAN SBY?ANDA BERMULUK2 KENYATAAN PANAMA PEPERS/INTERGRITASNYA? 17GUB MASIH MISKIN
0,NA,11/12/2016,"@davido223 @embah72 @Kesya_Kimberley ...dicari sm mbak @MataNajwa mau dikasi pertanyaan.. jangan kabur,whooii! diketawain sm @aniesbaswedan"
0,NA,11/12/2016,"JAKARTA KECE

Senin, 12 Desember 2016 pkl 21.30 WIB

Di net TV @netmediatama @AgusYudhoyono @basuki_btp @aniesbaswedan"
1,NA,11/12/2016,Menangkan warga jakarta @aniesbaswedan @sandiuno @MardaniAliSera https://t.co/Q3t82QtmYn
-1,0,11/12/2016,@agusdansylvi @AhyCenter @basuki_btp @aniesbaswedan @sandiuno jadi cagub harus sering sering pencitraan yaaa.. Hihihi
1,NA,11/12/2016,mantab @aniesbaswedan @sandiuno https://t.co/FmPyzsUxEv
1,NA,11/12/2016,Semakin yakin akan lahirnya Pemimpin Pergerakan Nasional baru di Ibukota #Majub3rsama  cc. @JktMajuBersama‚Ä¶ https://t.co/2xBnpfhp08
1,NA,11/12/2016,"Dg dilantiknya relawan #MajuBersama , saya deklarasikan saya mendukung mas @aniesbaswedan @sandiuno sbg cagu  pilihan. #ApelSiagaAniesSandi"
1,NA,11/12/2016,Bersama @aniesbaswedan #ApelSiagaAniesSandi #MajuBersama
0,NA,11/12/2016,Berikan Pidato Cagub DKI Jakarta @aniesbaswedan mengajak utk wujudkan Maju Kotanya Bahagia Warganya‚Ä¶ https://t.co/Rd55o8nZfZ
1,NA,11/12/2016,ini dia Gubernur pilihan qta @aniesbaswedan @sandiuno @PKS_Jaktim @PKSJakarta @PKSejahtera https://t.co/GkzovnCvHT
1,NA,11/12/2016,"Salam Komando, #SalamBersama #ApelSiagaAniesSandi bersama ust. @Khoiruddin66 @msi_sohibuliman @aniesbaswedan‚Ä¶ https://t.co/AD8BDxq5Pb"
1,NA,11/12/2016,"Salam komando, salam kemenangan @aniesbaswedan dan Presiden PKS @msi_sohibuliman #ApelSiagaAniesSandi https://t.co/rtbkT0I9mi"
1,NA,11/12/2016,"""@PKSJakarta: Bismillah. Serentak kita memulai acara #ApelSiagaAniesSandi https://t.co/WDsapbsFuw""Semangat Buat @aniesbaswedan @sandiuno TOP"
1,NA,11/12/2016,Menangkan @aniesbaswedan dan @sandiuno dengan persiapan #ApelSiagaKorwe
1,NA,11/12/2016,Top dah @PKSJakarta @PKSCiracas bikin #ApelSiagaAniesSandi @aniesbaswedan @sandiuno @JktMajuBersama :D
0,1,11/12/2016,@PKSJakarta cakep for @aniesbaswedan @sandiuno @MardaniAliSera @msi_sohibuliman @prabowo kapan kampanye akbar Anies Sandi? #SalamBersama ‚úã
1,NA,11/12/2016,Apel siaga koord rw se-dki di gor pertamina simprug.Siap menangkan #AniesSandi @JktMajuBersama @relawananies @sandiuno @aniesbaswedan
1,NA,11/12/2016,Untuk cagub paling clean dari korupsi dan anti korupsi buat sy @aniesbaswedan yg pertama...
0,NA,11/12/2016,Insya Allah #ApelSiagaAniesSandi  Kordinator RW Per TPS ini akan dihadiri oleh @msi_sohibuliman @aniesbaswedan‚Ä¶ https://t.co/DYsAn2KFVA
0,NA,11/12/2016,"Perang Opini mnj kursi DKI1 : 

Ahok TAMAT, 
@AgusYudhoyono tak terkejar,
@aniesbaswedan penyeimbang 

https://t.co/TfLMKdE628"
0,NA,11/12/2016,Peserta #ApelSiagaAniesSandi para Kordinator RW dan tim relawan mulai berdatangan ke lokasi.  Cc @aniesbaswedan‚Ä¶ https://t.co/x3VClT8sEN
1,NA,11/12/2016,"Bukan soal debat, tp siape nyang ngerti, deket, ame kongkrit buat rakyat Jakarta. Ya gak Om @aniesbaswedan Bang‚Ä¶ https://t.co/Kl1BRUTLFI"
1,NA,11/12/2016,"Alhamdulilah, nyang kalem, nyang ngayom, ya dipilih ame rakyat :D

Met pagi Om @aniesbaswedan Bang @sandiuno‚Ä¶ https://t.co/PjfuydxeUG"
0,NA,12/12/2016,@ketanitem99 @hariadhi @kurawa pak @aniesbaswedan mau nanam kangkungÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç
0,NA,12/12/2016,Dukungan Warga Jakarta buat Mas @aniesbaswedan dan Bang @sandiuno https://t.co/Y6nInRaPef
0,NA,12/12/2016,Relawan dimana Mas @aniesbaswedan https://t.co/L6qlDiFNDP
1,NA,12/12/2016,"Mengapa banyak orang menjadi Relawan Mas @aniesbaswedan dan Bang @sandiuno, karena Relawan begitu berharga bagi Mer‚Ä¶ https://t.co/utqG6q05wF"
0,NA,12/12/2016,@geostoreology @frans_oyong @humaira979 @aniesbaswedan yg edit tu siapa . Coba suruh lihat yg ahli poto
1,NA,12/12/2016,Kredibelitas Mas @aniesbaswedan yang tidak di Ragunan lagi. Makin mantap Pilih @JktMajuBersama https://t.co/CKJu2dRheY
1,NA,12/12/2016,"@IndraJPiliang @aniesbaswedan @netmediatama  Ahok fokus pd kelas mngah, Anies fks ngangkat drajat org miskin. Ahok mau gusur tnp gnt rugi."
-1,NA,12/12/2016,@netmediatama @aniesbaswedan BAGMN MAU DAMAI DI NEGARA KITA INI SELALU EVORIA.UJUNG2NYA BAGI BAGI JABATAN BAGI2 ANGGARAN SDH 72 TH BERJALAN
-1,NA,12/12/2016,@netmediatama @rona_silitonga @basuki_btp @aniesbaswedan pala pusing anies
0,NA,12/12/2016,@IndraJPiliang @aniesbaswedan @netmediatama cie..cie...Peluang 50 : 50 sm Ahok skrng?
0,NA,12/12/2016,"mendoakan @aniesbaswedan jadi mendikbud, bukan DKI 1.Itu yang dibutuhkan @mkusumawijaya @sandiuno @JktMajuBersama https://t.co/g6pNhZxopx"
1,NA,12/12/2016,"Nah, hujan. Luar biasa penjelasan @aniesbaswedan dlm debat dg Ahok td mlm di @netmediatama. Pengendalian debit air,‚Ä¶ https://t.co/hmijmHw3pw"
0,NA,12/12/2016,@GunRomli @NandoMagnifico @basuki_btp @aniesbaswedan @AgusYudhoyono Kalau ini apa ya ?? Pantesan belanya mati-matian https://t.co/JOqkoBpHQo
0,NA,12/12/2016,"""Bisa melihat perubahan itu biasa; ikut bagian dalam perubahan itu luar biasa"" - @AniesBaswedan"
0,NA,12/12/2016,Pendiri republik ini tidak pernah mengatakan adanya mayoritas dan minoritas. Semuanya sama @aniesbaswedan #jakartakece
1,NA,12/12/2016,Saya pernah liat Pak @aniesbaswedan nganterin anaknnya berangkat sekolah pake motor matic jauh sebelum jadi cawagub DKI..
1,NA,12/12/2016,Pak @aniesbaswedan dan ahok sama2 kece dlm debat semalam. Tp syg yg satu lg lbh suka lompat2an ketimbang share program utk JKT lebih kece!
1,NA,12/12/2016,"Bisa dibilang #JakartaKece tidak fair, karena selalu @aniesbaswedan yg lebih dahulu menjawab, jadi paslon no 2 mmliki ksmpatan u/ brpikir"
-1,NA,12/12/2016,Si @aniesbaswedan ini ngomong opo too.. level ngantuk tingkat dewa Ì†ΩÌ∏¥#JakartaKece Ì†ΩÌ≤§
1,NA,12/12/2016,@EachChoose @basuki_btp @aniesbaswedan @netmediatama hebat anies baswedan ..
0,NA,12/12/2016,indahnya masa lalu jln tangerang-jakarta 1976 #jakartauntukrakyat #tangerang #BantenLawanDinasti #Daanmogot‚Ä¶ https://t.co/38ZFLUQnV2
0,NA,12/12/2016,Debat cagub Ahok @basuki_btp dan @aniesbaswedan di @netmediatama 12 Des 2016. #JakartaKece https://t.co/MHC7IQvIdp
0,NA,12/12/2016,Msh mau @kangdede78 @digembok @kurawa cs bully @aniesbaswedan ? Jgn jd buzzer o'on ya gak @PartaiSocmed https://t.co/fB03i3z4sU
1,NA,12/12/2016,"Mari terbuka #JakartaKece
Pak @basuki_btp  punya solusi tata ruang kota Jakarta.
Pak @aniesbaswedan punya solusi untuk mendidik Jakarta."
