"","text","is_kelas"
"77.content","keren program abang lebih riil sgt bpihak rakyat kecil dki",1
"78.content","ngerasain ya bapak",0
"79.content","hilang harap orang anak kecil punya cita gubernur dagang ya dik",0
"80.content","kami sudah buat belum lain pikir",0
"81.content","abang ngegombalnya sudah over dosis",-1
"82.content","jelang sholat subuh berjamaah mesjid istiqlal",0
"83.content","apa program terus jalan andai gubernur buksn aniessandi",0
"84.content","sedih saya lihat bapak saya pernah sangat kagum bapak",-1
"85.content","cagub klaim sbg ortu warga jkt warga tidak ahokdjarot sbg ortun",0
"86.content","om waras om",0
"87.content","saat cara kampanye gambar cara pimpin",0
"88.content","roma tidak harga asa ani",0
"89.content","abang nyetatus intelek dikit kenapa malu kali haters",-1
"90.content","kami harap setelah tangga februari kembali merah putih",-1
"91.content","agussylvi asal dongeng pnting nyinyir balkot difabel dperkaryakan tidak prnah ngantor",0
"92.content","maju terus bapak aniessandi",1
"93.content","cicil bulan bagaimana",0
"94.content","ramah kpd kaum difabel sblumnya tidak prnah trpikir jkt sudah tidak kampung berkat ahokdjarot",1
"95.content","tidak hrs melulu mnggunakan ramp lift jkt sekarang sudah mulai maju sprti kota dunia mulai peduli",0
"96.content","sikap pemahaman benar sbg makhluk semoga langit rahmat menang atau kalah anda tetap menang abang",0
"97.content","maju terus",1
"98.content","bohong parah orang doyan banget omong bohong molo",-1
"99.content","mantap maju terus",1
"100.content","memang bangsat laknatullah",-1
"101.content","kemarin ya sekarang tidak",0
"102.content","dulu milih",0
"103.content","ajar dosen fitnah bapak dosen apa kayak gubernur ta",0
"104.content","mantan menteri koplak semua halal",-1
"105.content","kurang dess dess cak cek kepinteren be telmi mungkin",0
"106.content","oce makan cemilan baru ya",0
"107.content","cicil panjang bunga mahal aniessandi bidang dana als lintah darat",-1
"108.content","rasis",0
"109.content","keren semua hny tuhan tentu takdir telah tulis bagi kita adalah berikhiar doa",0
"110.content","iya iya tidak dilakuin buwas cerita",0
"111.content","ngupi dini hari usai saksi kita dulu tanggal jangan lupa coblos",0
"112.content","jam sudah jaya kayak tinggal lanjutin",0
"113.content","memang lama tuan rumah siapa",0
"114.content","pinned tweet ganti sudah bulan lebih",0
"115.content","ya anda sudh temak hoax ahoker",0
"116.content","oalah bapak bapak cuma omong thok kowe",-1
"117.content","ahokdjarot ahokdjarot lebih nyata mata saya",1
"118.content","pantas pecat bapak jokowi",-1
"119.content","masukin tempat tidur lwt mana lb",0
"120.content","mngkn dia banyak kenal sales properti kali",0
"121.content","hrsnya bapak aniessandi mepet terus mana agussylvi subuh jaga suara stabil",0
"122.content","saya prediksi pilkada langsung putar benar tarung vs lolos tidak sudah pasti lolos",0
"123.content","jangan hanya omangan dana buat mana belum pula dp rumah tidak mau nambahin utang",-1
"124.content","abang mau berantas narkoba sampai tuntas dapet salam mau legalisasi ganja wakwawwww",0
"125.content","tepat malu dunia didik telah besar nama",-1
"126.content","sbgaian ibu jgak bawa dampak ingin laku curang",-1
"127.content","semoga pimpin ya bapak amanah",1
"128.content","lbh simple serahin tugas lembaga",0
"129.content","banding mmg lbh kapabel program lbh bumi tidak cuma retorika",-1
"130.content","jelas tentang konsep rumah tanpa dp",0
"131.content","terus ngapain km bilang tugas lembaga km sudah tau jwbn aazzz",0
"132.content","kluarga utama brow",0
"133.content","apa kabar jangan bangun benda benda mati bagaimana abang sehat",0
"134.content","trlalu simple uda tgas msing lmbaganya",0
"135.content","wah parah kata didik hati busuk ya",-1
"136.content","logika kinerja benar dia tidak henti saat menteri pemecatan cara halus",-1
"137.content","km sebutin arti ngerangkul km paham tidak apa",0
"138.content","bukti nyata fact congrats terus juang putar adala",1
"139.content","kenapa tidak kalian atur harus pribumi asli bukan turun",0
"140.content","pemikiran km tidak nyampe soal sosialisasi",0
"141.content","bina pasti",0
"142.content","sudah kebelet gubernur shg esensi prtanyan tidak t rjawab kebelet",-1
"143.content","ngeyel ni orang tidak paham kinerja maksud sosialisasi bhy narkoba sprti apa akun abal",-1
"144.content","bapak lihat bapak",0
"145.content","sungguh asli gubernur dki",0
"146.content","ya sangat ingin kuasa skrmg apa laku",-1
"147.content","kreeeen nmr kebyoranlama",0
"148.content","bagi ica kali gorila budastick",0
"149.content","pas doi ngomg gtu ngakak bapak aniessandi sedudul ya",-1
"150.content","in sya tuhan brkah bapak semoga doa kta ijabah tuhan maju terus",1
"151.content","banyak congek kali abang",0
"152.content","raffi ahmad timses bapak pake narkoba bapak buat ikhtiar kmrn",0
"153.content","dunia didik malu pernah punya orang seperti anda",-1
"154.content","apa wewenang hukum gubernur kam kuhp asal nhomong",-1
"155.content","pantes aceh selalu landa musibah gempa dll mulu rasis lo",-1
"156.content","pssssst cuma buat paslon",0
"157.content","mmg watak asli orang br buka pas dia ditawari kuasa ya kayak aniessandi",-1
"158.content","nonton debat cagub dki bikin emosi nyata pasang pasang hmm ambisi suka",-1
"159.content","makasih buat terjemah bapak ayo kita fokus kerja kerja kerja",0
"160.content","apa lemah ahokdjarot agama yaudah gitu hajar habis pake isu agama ben modiar",-1
"161.content","warga jkrt tau mn bs mimpin jkrt kamu cmn ngeramaikan ade balon gubernur",0
"162.content","katane tidak nyangkut pilkada mbok yao ikut diri tidak campur politik l",0
"163.content","maaf track record tidak bohong saya pilih bersih",-1
"164.content","sapa tau gerak kamuflase buat kendara politik cb tanya orang awam apa manfaat im tidak",0
"165.content","maklum boss",0
"166.content","tadi tidak sebut kredit rumah mana siapa oleh dp mungkin rumah janji",0
"167.content","tolol",-1
"168.content","gubernur baru stok lama",0
"169.content","bagaimana bs pemimpin rangkul smua kl beda agama beda suku sudut kampanye",1
"170.content","video tidak gugah soal uda buta hati nurani oleh napsu kuasa prinsip pegang lama dilepehin",-1
"171.content","semoga masuk putar bapak putar suara gabung paslon siapa masuk paslon atau gbg",1
"172.content","souzon bangat",0
"173.content","mantap kanda yakin usaha sampai",1
"174.content","teori diandalin",-1
"175.content","dua jari ya om ahokdjarot ommm",1
"176.content","besok pagi subuh istiqlal ya om",0
"177.content","ayo berkah hidup bagi link ikut",0
"178.content","korupsi bapak disebutin berantas korupsi gitu baru clear",0
"179.content","kpr tanpa dp tidak salah tidak marah bi ojk apa tidak salah proedur",0
"180.content","tuhan jakarta utara pilih cagub muslim",1
"181.content","ayo warga jkt kita kawal menang gubernur wagub dki jakarta",1
"182.content","kpr kredit lacur rumah",0
"183.content","cek tl tahun brp saya sosialisasikn bhya narkoba brp orang ingin sembuh candu",0
"184.content","oce pokok be",0
"185.content","km sudah pernah cek lap brp tmpt sosialisasikn bhya narkoba",0
"186.content","tap kata dibangung akhlak bapak bangun tidak penting",0
"187.content","kata komnas perempuan pindah tanggungjawab gerak perempuan cape",0
"188.content","hadir jakarta menawarkan lindung hadap warga dagang lima",0
"189.content","ucap apkh bakal pake atur tuhan",0
"190.content","cuma jwban blg gtu tidak real tidak smudah orang pcandu",0
"191.content","jakarta semua jangan kotak kotak jangan mau kotak kotak",1
"192.content","sara mana",0
"193.content","kerja kls atas asyik nge twitt para dukung mari kompak tuk damai aza pilih n",1
"194.content","hati kecil kalian pasti tidak bs bohong diri bahwa ideal dki jakarta",1
"195.content","nonton orasi habib rizieq",0
"196.content","bapak ahokdjarot boleh datang",0
"197.content","emng gtu tidak tau ortunya kaya tanya lp bnyk tu cuma pmakai emangny kamu pmakai",0
"198.content","pernah urus imb pasti erti nista nabrak izin reklamasi",-1
"199.content","main sudah main kasar fitnah",-1
"200.content","that moment ketika berita gas bapak abang padahal isi adalah j",0
"201.content","elektabilitas naik maka turun atau balik mereka rebut segmen pasar",0
"202.content","lucu bapak",0
"203.content","tahu tidak omong sprt medsos benar jika benar anda",0
"204.content","cerdas ya pasti hadir unt menetralisir bujuk rayu agussylvi",0
"205.content","sesi interaksi tidak bertanya kepada justru minta dapat",0
"206.content","pantes pecat presiden be be",-1
"207.content","banyak dukung nista anak muda baru ikut milu kmaren gampang wash brain",-1
"208.content","suka closing statement bapak saat debat tuhan ikhtiar kabul",1
"209.content","anti reklamasi ngumpulnya partai sanusi",0
"210.content","pakta ya wujud feb x",0
"211.content","prabowo jamin",0
"212.content","tuhan tidak putar pertama gusur hal gusur warga",1
"213.content","hati masyarakat tanpa debat bapak ahokdjarot suda pasti menang",1
"214.content","sabotase",0
"215.content","debat semua paslon telah baik kurang debat belum",0
"216.content","apa bukan nista agama nama",0
"217.content","salam ukhuwah",0
"218.content","abang tidak ikut hadir nanti rebut suara usaha akhir",0
"219.content","maaf bapak seperti saya harus move on saya dulu kagum bapak sekarang entah",-1
"220.content","bapak aniessandi aniessandi php pintar olah kata dp rumah tipu",-1
"221.content","bapak sudah omong beh bikin leleh",0
"222.content","jangan beli kucing karung sudah pasti",0
"223.content","aazzzz",0
"224.content","mantap bapak",0
"225.content","tidak cocok sales oce oyes",-1
"226.content","lebih wenang siapa om artikulasi koordinasi apa",0
"227.content","janji mimpi jelas tidak nyata sudah nyata ngapain bingung",-1
"228.content","maaf bukan sok pinter ya pas bapak menteri bagaimana ya monggo jelas kami",-1
"229.content","orang kalaubdah pecat arti tidak guna",-1
"230.content","pulau reklamasi jika batal pulau kampung nelayan abang hutan bakau abang",0
"231.content","ya benar bapak bagi besar warga jkt datang karyawan maupun dagang ya spt saya",0
"232.content","bagaimana bapak waktu anda jawab menit mulai sejak anda bicara",0
"233.content","paslon sudah ruji bukti karya dikit banyak waris minta",1
"234.content","pribadi santun cerdas rakyat",1
"235.content","tetap tidak",0
"236.content","beli",0
"237.content","abang video mana atau tidak anggap sbg cagub muslim",0
"238.content","jakarta butuh tukang cukur baru",0
"239.content","nampaknya kredit rumah tanpa agun janji oleh aniessandi aniessandi hayo siapa mau ikut kredit",0
"240.content","consistency integrity haus kuasa mmg rusak akhlak kl nda kuat iman adalah cont",-1
"241.content","masih timbang salam bln nominal konsisten gtu pan",0
"242.content","kenapa tidak suka anak nakal keluar alas",0
"243.content","mw bwt kpr mw bikin perban ancur kredit macet",-1
"244.content","menteri anda salah itung anggar arti anda kala cermat mantri sunat tidak pernah salah potong",-1
"245.content","bukti brarti bukan fitnah",0
"246.content","kl byk hutang budi gubernur baru kasih apa ama jkt tidak mlh sibuk balas budi",0
"247.content","bukti berik info sesat rakyat",-1
"248.content","saya tidak terima anda bilang warga ingin gubernur baru jakarta cuma mau",1
"249.content","buat biaya hidup sudah susah bagaimana seh program ngawur wur",-1
"250.content","bcra tidak realistis tidak msk akal ambil mtor jah hrspke dp mna beli rmh bebas dp mustahil",-1
"251.content","mereka tenun kebhinekaan bangga",0
"252.content","masuk kerasan verbal ato fisik bapak",0
"253.content","bg aniessandi jangan sampai mata sipit kuda nanti bagaimana nasib asli betawi jakarta",0
"254.content","tidak hoax tidak sara issue n demo semoga tuhan brsama paslon trbaik mnurut",1
"255.content","bapak dp rumah ibu sri mulyani ngamuk npl kita sudah cukup tinggi boro mau investment grade turun rating",-1
"256.content","ya dki bs tenggelam oleh kaum urban demi",0
"257.content","mirip bapak",0
"258.content","bukan nol dp bapak cuma geser dpnya angsur",-1
"259.content","benar banget janji palsu pasang n ude tahu awal",-1
"260.content","tentu suka horaaang meng kayaaaal",-1
"261.content","data seluruh indonesia bapak dosen bapak lbh bagus",-1
"262.content","abang bapak abang emang iya ya",0
"263.content","koordinasi om bnn lebih tau faham sangkut dua",0
"264.content","masih satu gerbong satu masinis masinis sibuk tuuwwwiiitt tuuuwwiiit",0
"265.content","suruh nabung terus tidak boleh ambil bulan sami mawon dp cicil bohong banget",-1
"266.content","saya hanya doa menang bapak aniessandi abang aniessandi mudah dki bs bawa jakarta damai",1
"267.content","akhir paslon turut saya paling unggul debat tadi mahir rangkai kata kalimat sejuk dengar",1
"268.content","lucu bangsa umar abu bakar ustman bakal kualat ne tiga",0
"269.content","hapus komennya takut tidak bayar",0
"270.content","jago buat program dikbud pengejewentahan tidak makanya korban resulfe kabinet",-1
"271.content","ampun bapak",0
"272.content","emg kapan bapak kita tidak tuan rumah sendiri lebih spesifik bapak konkret",0
"273.content","didik kurikulum indonesia hajar bungkus tenun sesat",0
"274.content","mrk sllu blg hrs santun debat tidak etika mnyerang personal bukan substansial program",0
"275.content","apa bapak",0
"276.content","alokasi dana didik apbd dki paling tinggi se indonesia gara mantan mendikbu",0
"277.content","monggo cek bro",0
"278.content","napsu gubernur mlanggar atur",-1
"279.content","bapak bila tuhan jdkan sbgai pemimpin jakarta mhn seru melafadzkan sholawat tarhim jelang sholat subuh",0
"280.content","saat bapak ahokdjarot dapat puisi anak sandang disabilitas",0
"281.content","kasih paslon tidak ky murid jewer guru ska mat",0
"282.content","sehat sukses selalu ya bapak",1
"283.content","kenapa hny berlaku jkt",0
"284.content","program sekal tidak laku fakta ilmiah jebak rakyat",-1
"285.content","bgitupun sbaliknya tuhan maha asyik paham betul ktika takdir nanti tidak ssuai",0
"286.content","skr tiap lihat omong bawaanya kesel matiin tipi politik ubah orang",-1
"287.content","bagi besar mrk pilih ahokdjarot ahokdjarot jangan sesat didlm bangun opini",1
"288.content","dulu sangat kagum sampai inspirasi ikut kelas inspirasi ngajar saya suka tutur kata bapak pintar open minded",1
"289.content","manis banyak omong aniessandi lupa omong sendiri",-1
"290.content","coba koreksi catat icrw anak indonesia bicara tadi dki so",0
"291.content","apresiasi jawab ttg lebih calon lain perfect answer hrs aniessandi baik tanya bukan ttg program",1
"292.content","jangan suudzhon",0
"293.content","debat tadi hanya tarung antara ama well luck",0
"294.content","ingat gubernur adlh ayan masyarakat hrs rela waktu tenaga pikir rakyat",0
"295.content","jangan buruk sangka bapak tanya panitia bukan guna twitter",0
"296.content","semua kembali rakyat dki sapa pemimpan pantas maju jakarta",0
"297.content","jika pilih jangan kecewa warga jakarta",1
"298.content","salam",0
"299.content","tema lindung anak",0
"300.content","maju terus bapak demi jkrta",1
"301.content","bagai orang ibu wanita rasa harga bapak aniessandi thx",0
"302.content","yakin abang anti kerasan mesra fpi",0
"303.content","semua benar tolak bapak tolak tangkap aparat",-1
"304.content","kata jangan curiga curiga curiga",0
"305.content","abang aniessandi emang jakarta belum jaya sekarang ya uda jaya demo gedg bertikagkt",0
"306.content","oc",0
"307.content","ahokdjarot bilang segala cara laku asal menang ngasih hal tidak mungkin wujud wa",-1
"308.content","hari gin pilih pasti pasti sudah bukti sudah ruji ya paslon tidak",1
"309.content","siang gubernur malam ngejar jahat macam film datk justice top dah abang aniessandi",1
"310.content","kira thn feasible tidak bapak",0
"311.content","mungkin gerak lebih bagus im",0
"312.content","sampah lo jawab berapa gede pengaruh im data kasih data gausah ceriwis",-1
"313.content","jkt sudah maju saya lihat urus ahokdjarot sudah bukti bukan wacana janji",1
"314.content","semoga pilih bagai gubernur jkt jaga amanah amie",1
"315.content","sptnya bapak sbg orang didik hrs ajar kpd soal konsisten integritas",1
"316.content","sajak nyanyi bapak",-1
"317.content","beda antara dunia nyata fantasi sak",0
"318.content","masa jabat cuma thn bikin skema cicil rmh thn bapak bank bikin skema cicil umum th feasibility study",0
"319.content","betul bro pas banget ahokdjarot ahokdjarot gubernur",1
"320.content","aba bawah comment fransisca pantes udahan j",0
"321.content","smg klau perempuan maksud adlh irt tau mbagi waktu y bapak n bukan uang oriented",0
"322.content","suundzon",0
"323.content","menang",1
"324.content","kita kembal kepada berpengalaman sudah bukti stuju",0
"325.content","bro mantap legalisasi ganjo ancur fef",0
"326.content","pasti rebut jakarta",0
"327.content","warga alexis maksud bapak sudah capek blusukan duluan malah wakil",0
"328.content","takdir sudah tulis tugas kita adl ikhtiar doa",0
"329.content","tetap salam jari meski saya bukan warga dki",1
"330.content","tuhan semangat",1
"331.content","pasang serasi",0
"332.content","semoga menang putar",1
"333.content","aniessandi sombong santun aniessandi cuci uang panama paper",-1
"334.content","bapak suatu katak bukti klau sudah realisasi klau belum realisasi bukan bukti nama",0
"335.content","urus didik tidak becus sampai pecat skr sok belagu mao urus dki lbh ruwet situ waras atau tidak tau malu bapak",-1
"336.content","semangat tawakal hanya kpd tuhan",1
"337.content","om tante",0
"338.content","sudah lihat belum ya paling mingkem",0
"339.content","kurang tutup begitu balik paslon lengkap",1
"340.content","bapak temennya skrang fpi pks ya wajar kamu jngan ikut ya",0
"341.content","keselek apa statement tidak jelas sumber arah begitu",-1
"342.content","saya selalu doa agar apa tuju anda capai",1
"343.content","bapak harus besok dtg even tidak salip oleh paslon",0
"344.content","doa saya tidak menang abang abang doa",1
"345.content","kepemimpinan pinta bukan minta fix ya saia amanah saya bapak abang",1
"346.content","suudzon tidak baik bapak",0
"347.content","sudah jalan pns tni polri dana tunjang sbg dp",0
"348.content","semangat bapak oce",1
"349.content","kata aniessandi dulu sekarang aniessandi sudah robek tenun bangsa demi raih kuasa",0
"350.content","betul abang kecewa tadi pas tidak suara",0
"351.content","wah tumben metrotivu bener",0
"352.content","abang mau tanya kata bapak ahokdjarot bapak pecat menteri tidak sinkron program beiau terus ibu puan bagaimana",0
"353.content","allohumma salam",0
"354.content","sindir om fahri",0
"355.content","bukan artis ya video siapa bikin",0
"356.content","bunglon mana jawab tanya buka laku depan debat banyak tau",0
"357.content","pilih baik masyrakat dki",1
"358.content","saat urus lebih serius benar oleh mereka",0
"359.content","selamat tanding abang bapak abang selamat juang jkt",0
"360.content","pe nakaaal kali",0
"361.content","saya suka jawab bapak ahokdjarot langsung skak mat nyata bapak kait koridor busway keren",1
"362.content","coblos tidak ya",0
"363.content","mana bukti",0
"364.content","beli rumah tanpa dp nabung dl bulan saya da nabung tahun belum cukup buat dp om",0
"365.content","dulu kerjax tanpa pamrih sekarang imbalanx tanpa kerja",0
"366.content","pantes pecat presiden tidak nyadar nyata",-1
"367.content","program mimpi nhayalan sudah pasti",-1
"368.content","wah anakkecil suruh bagi brosur jalan",0
"369.content","selamat bapak abang aniessandi kalian juara",1
"370.content","pantes pecat anda memang jago citra kata",-1
"371.content","remember this one dia mau legalize ganja bagai bagi terapi paliatif kontroversial ilmiah",0
"372.content","sudah tidak senjata saing sehat penting menang ya bapak martabat",-1
"373.content","wartawan paslon apa solusi anda atas masalah banjir jakarta kita harus blaax oce",0
"374.content","jwbn tidak penting bapak",-1
"375.content","boleh dapat bocor rumah mau bangun mana y bujan rumah rapung",0
"376.content","kepriben kiye",0
"377.content","ya gitu ya bapak",0
"378.content","kontestasi pilkada dki ungkap jatidiri selalu sembunyi balik kata manis",0
"379.content","selamat indonesia mulai ibukota sukses pilkada dki tidak",0
"380.content","saya nabung tiap hari ribu lama tahun bapak kagak ikut dp rumah",0
"381.content","bapak kalah polling menang adalah abang",0
"382.content","tolong kirim twiter bapak aniessandi supaya beliau baca sehingga tidak mll",0
"383.content","gitu ya be",0
"384.content","yo wis mari pilih tidak dia rasa tidak penting pilih",1
"385.content","abang kurang cek data",0
"386.content","tidak penting aba",0
"387.content","cegah buat segala urus pemda dki harus tes narkoba positif rehab ato pecat ato lapor polis",0
"388.content","warga mana bapak",0
"389.content","benar bapak saya tuju pemimpin harus adil saya lebih percaya ahokdjarot timbang bapak thanks",1
"390.content","walaupun tidak dengar suara tuhan menang",1
"391.content","kalimat tutup kena warga jakarta",0
"392.content","kerasan hadap perempuan atau bukan bapak",0
"393.content","bapak satu anggota dewan ya",0
"394.content","mohon dengar jerit hati anak bapak",0
"395.content","punya ide bagus banyak banget apliasikan sedikit selalu dukung bapak",1
"396.content","didik kita selesa supaya tiap anak berani bertanggungjawab atas pilih sbg diri sendiri",0
"397.content","tuhan menang gubernur wakil gubernur",1
"398.content","makanya dosen semua porsi masing",-1
"399.content","pilkada bukan soal pasang calon soal kebahagian warga jakarta",0
"400.content","saya minta kursi roda tidak kasih bapak",0
"401.content","anda td tidak protes end up bagaimana ya be be be",0
"402.content","bener bukan kota ramah koruptor",0
"403.content","ya bapak untung beri sempat dua in the name of fairness",0
"404.content","fpi usak citra islam suka grudukan keroyok masa demo kreatif gitu nanam padi sawah",-1
"405.content","saat umpama diri umar dia sdg tunjuk bahwa tidak cukup punya percaya diri kenal diri sbg diri",-1
"406.content","tenun bangsa tenun bangsa mana abang",0
"407.content","bukan pecat henti tidak prestasi kwakaka",-1
"408.content","ya rasis kenapa takut orang cina tidak punya kualitas om",-1
"409.content","tidak nyambung blunder",-1
"410.content","apa pokok oce wkakakakakak",1
"411.content","evaluasi dua debat catat buat calon pemolih",0
"412.content","jelas hy tidak masuk kategori ayo pilih gubernur muslim",-1
"413.content","tidak lbh baik atas tawur ajar kerasan sekolah bahkan soeharto",0
"414.content","harap abang jelas kpr bpd tanpa dp back up apbd tetap prudent tidak default gfc kpr",0
"415.content","bapak tolong buat tentang alir sesat data",0
"416.content","ngeres pikir abang fadlizone emang beliau selalu kritis abis jokowi ahokdjarot",0
"417.content","obral janji",-1
"418.content","aniessandi raih simpati fakta tidak besar lebih bapak",0
"419.content","kata fakta baik abang",0
"420.content","makanya henti bapak jokowi program bagus cuma kertas asli saya kecewa luar biasa sm bapak saya",-1
"421.content","sudah sudah tidak penting debat ahokdjarot n aniessandi bagus cuma ahokdjarot emg lbh bagus an",1
"422.content","kasih aniessandi aniessandi duit sudah mereka keluarin tidak arti tidak pilih",-1
"423.content","gambar realisasi ya harus apa cuma konsep",0
"424.content","cakep doa menang sejuk kedamaiaan",1
"425.content","ciri kaum munafik spt kyk",-1
"426.content","bolak balik apa abang aniessandi tempe goreng apa martabak",0
"427.content","mau bangun rumah mana brp tipe tanah meter masih dibwh juta dp cici",0
"428.content","bapak omong masyrkt dki mw pempimpin baru bapak aniessandi sm pendukungny y omong",0
"429.content","tidak plin plan ya masih menteri masbro",-1
"430.content","ya umpaan sadis bgt ngenak banget",0
"431.content","doa ya beri percaya sbg sejuk ayom buat masyarakat jakarta",1
"432.content","contoh takabur sombong lihat oleh bapak istighfar bapak",-1
"433.content","benar lbh warga jakarta tidak milik rmh sendiri simak data",0
"434.content","aniessandi tidak bgus debat x cuman pancing ahokdjarot ide cerdas malah nyerang nyari salah",-1
"435.content","tuju klau tidak masalah pasti menteri tidak ganti ya bro",0
"436.content","lap",0
"437.content","kog ya tiap tidak bicara pas hilang melulu",0
"438.content","skema kyk kpr beda non dp tanya angsur bunga per bulan tenor brp",0
"439.content","tidak dengar ya waduh jwb dekat hati bukan keras",0
"440.content","closing mantap bapak bapak kisah abu bakr utsman tuhan with sir",1
"441.content","siapa gubernur dki nanti jangan lupa traktir martabak markobarnya",0
"442.content","thn mo baru bukan anda ya",0
"443.content","artis pandai tanpa uang pilih lain dpt bayar",0
"444.content","saya betawi tetap pilih ahokdjarot",1
"445.content","tidak santun closing time bukan minta restu dukung do malah bully ber etika",0
"446.content","periode putar",0
"447.content","thanks ya mohon dukung doa semua",1
"448.content","ahokdjarot ngaco sok tau pikir bapak jokowi mana mungkin presiden bicara",-1
"449.content","dulu waktu menteri solusi bagaimana bapak realisasi tidak",0
"450.content","closing mantap bapak bapak tuhan bolak balik hati manusia tawakal terus ya bapak tuhan",1
